outer_fold,stage,n_test,accuracy,balanced_accuracy,macro_f1,class0_recall,class1_recall,mcc,roc_auc
1,Stage 1,690,0.8797101449275362,0.9024854332138514,0.8174318039089423,0.8691910499139415,0.9357798165137615,0.671021593727104,0.9417486459599868
1,Stage 2,109,0.6788990825688074,0.6862490733876946,0.6677118717881718,0.6619718309859155,0.7105263157894737,0.3557508973755719,0.8217197924388436
1,Stage 3,71,0.8591549295774648,0.8863095238095238,0.8203441295546559,0.9333333333333333,0.8392857142857143,0.6739388881150379,0.9119047619047619
2,Stage 1,615,0.8,0.8408720930232558,0.7972206808366908,0.705,0.9767441860465116,0.6516175885652372,0.9126395348837211
2,Stage 2,215,0.8093023255813954,0.8379186602870814,0.7618146937231485,0.8863636363636364,0.7894736842105263,0.572099955895123,0.9096225412014886
2,Stage 3,44,0.5227272727272727,0.6205882352941177,0.5103338632750398,0.8,0.4411764705882353,0.20757165646340406,0.6529411764705882
3,Stage 1,680,0.8279411764705882,0.842275711644283,0.8017892777864974,0.811623246492986,0.8729281767955801,0.6264313486732838,0.8915953453869063
3,Stage 2,182,0.7472527472527473,0.6934523809523809,0.697193287037037,0.5535714285714286,0.8333333333333334,0.39528470752104744,0.763888888888889
3,Stage 3,56,0.7678571428571429,0.6089430894308943,0.6190476190476191,0.26666666666666666,0.9512195121951219,0.3119655321104116,0.6585365853658537
4,Stage 1,690,0.8710144927536232,0.8823061334310347,0.8411943139237494,0.8604206500956023,0.9041916167664671,0.6994124740902737,0.9492220148612908
4,Stage 2,167,0.6467065868263473,0.6834209712341479,0.6458939802336028,0.819672131147541,0.5471698113207547,0.35872302346250634,0.8028147231673368
4,Stage 3,61,0.4918032786885246,0.515625,0.3561457269322438,1.0,0.03125,0.12289901003127189,0.53125
5,Stage 1,867,0.922722029988466,0.9153344236993355,0.9161926059513075,0.9421338155515371,0.8885350318471338,0.8324108316721381,0.9729385747687771
5,Stage 2,331,0.7250755287009063,0.7314955159782746,0.6491234201176539,0.7413793103448276,0.7216117216117216,0.3667976022604286,0.8286598459012252
5,Stage 3,58,0.7241379310344828,0.6477272727272727,0.6403100775193798,0.5,0.7954545454545454,0.282876190928009,0.8100649350649349
