model,activity,activity_name,n_subjects,n,class0_n,class1_n,both_classes_present,balanced_accuracy,macro_f1,class0_recall,class1_recall,roc_auc
logistic_regression,1,walking,22,1873,1817,56,1,0.8306667190816888,0.6001740035159473,0.8756191524490919,0.7857142857142857,0.8833143328878056
logistic_regression,6,right_turn,22,702,313,389,1,0.7317936545742749,0.7318992468381412,0.5175718849840255,0.9460154241645244,0.8364036564632834
logistic_regression,7,left_turn,22,967,426,541,1,0.7661889389324239,0.7692430067612356,0.6784037558685446,0.8539741219963032,0.8470663785547543
random_forest,1,walking,22,1873,1817,56,1,0.8389515685195377,0.6627919537418379,0.9279031370390755,0.75,0.9018446811856278
random_forest,6,right_turn,22,702,313,389,1,0.7830391681792424,0.7864582787014214,0.6869009584664537,0.8791773778920309,0.8562957365900934
random_forest,7,left_turn,22,967,426,541,1,0.7885067645552923,0.7869823251956668,0.784037558685446,0.7929759704251387,0.8768017842111202
raw_temporal_cnn,1,walking,22,1873,1817,56,1,0.8387992373614278,0.6380889687990228,0.9097413318657127,0.7678571428571429,0.8856140419844327
raw_temporal_cnn,6,right_turn,22,702,313,389,1,0.7850595858964988,0.7894013442467389,0.6549520766773163,0.9151670951156813,0.8150085826687583
raw_temporal_cnn,7,left_turn,22,967,426,541,1,0.8210126439474803,0.8263726018292064,0.715962441314554,0.9260628465804066,0.8687051452274956
rbf_svm,1,walking,22,1873,1817,56,1,0.8336936866105826,0.6066018052027962,0.8816730875068794,0.7857142857142857,0.8827148360720183
rbf_svm,6,right_turn,22,702,313,389,1,0.7304713486698917,0.7311812811958063,0.5303514376996805,0.9305912596401028,0.8174396543935871
rbf_svm,7,left_turn,22,967,426,541,1,0.7747845669209341,0.779111015559915,0.6549295774647887,0.8946395563770795,0.8372471427455676
